Наименование,Описание,Цена,Старая цена,Местоположение,Ссылка
"<img src=""https://73.img.avito.st/208x156/10827411073.jpg"">","BMW X5, 2010","163 000 км, 3.0 AT (269 л.с.), внедорожник, полный, дизель",1 350 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2010_2100873257
"<img src=""https://95.img.avito.st/208x156/10693264795.jpg"">","BMW X5, 2004","350 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",550 000 ₽,-,"Республика Адыгея, Тахтамукайский р-н, аул Новая Адыгея",https://www.avito.ru/yablonovskiy/avtomobili/bmw_x5_2004_2108988176
"<img src=""https://19.img.avito.st/208x156/10660725219.jpg"">","BMW X5, 2001","300 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",430 000 ₽,-,"Курская область, Курск",https://www.avito.ru/kursk/avtomobili/bmw_x5_2001_2106269607
"<img src=""https://81.img.avito.st/208x156/10649746481.jpg"">","BMW X5, 2017","106 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 750 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2017_2086673971
"<img src=""https://55.img.avito.st/208x156/10695511155.jpg"">","BMW X5, 2002","284 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",390 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2002_2109370255
"<img src=""https://77.img.avito.st/208x156/10802088677.jpg"">","BMW X5, 2010","210 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 130 000 ₽,-,"Тамбовская область, Тамбов",https://www.avito.ru/tambov/avtomobili/bmw_x5_2010_2091012374
"<img src=""https://83.img.avito.st/208x156/10536063983.jpg"">","BMW X5, 2005","Битый, 250 000 км, 4.8 AT (360 л.с.), внедорожник, полный, бензин",100 000 ₽,-,"Республика Дагестан, Махачкала",https://www.avito.ru/mahachkala/avtomobili/bmw_x5_2005_2085996218
"<img src=""https://77.img.avito.st/208x156/10730413277.jpg"">","BMW X5, 2020","20 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 270 000 ₽,-,"Московская область, Дмитровский г.о., Дмитров",https://www.avito.ru/dmitrov/avtomobili/bmw_x5_2020_2109442940
"<img src=""https://19.img.avito.st/208x156/5743076919.jpg"">","BMW X5, 2009","147 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Москва, Троицкий административный округ, поселение Первомайское, пос. Птичное",https://www.avito.ru/moskovskaya_oblast_troitsk/avtomobili/bmw_x5_2009_1782412871
"<img src=""https://31.img.avito.st/208x156/10389917131.jpg"">","BMW X5, 2008","215 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",1 000 000 ₽,-,"Республика Северная Осетия — Алания, Владикавказ",https://www.avito.ru/vladikavkaz/avtomobili/bmw_x5_2008_2064005578
"<img src=""https://34.img.avito.st/208x156/10623707034.jpg"">","BMW X5, 2015","134 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 750 000 ₽,-,"Свердловская область, Екатеринбург",https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_2015_2092471158
"<img src=""https://61.img.avito.st/208x156/10752355961.jpg"">","BMW X5, 2008","246 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 300 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2008_2133825107
"<img src=""https://48.img.avito.st/208x156/10553267748.jpg"">","BMW X5, 2015","123 736 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 945 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2015_2098030731
"<img src=""https://11.img.avito.st/208x156/10269585311.jpg"">","BMW X5, 2008","132 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",800 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2008_2074601173
"<img src=""https://15.img.avito.st/208x156/10227665915.jpg"">","BMW X5, 2002","250 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",275 000 ₽,-,"Свердловская область, Екатеринбург",https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_2002_2049110385
"<img src=""https://69.img.avito.st/208x156/10517742369.jpg"">","BMW X5, 2007","250 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",800 000 ₽,-,"Новосибирская область, Новосибирск",https://www.avito.ru/novosibirsk/avtomobili/bmw_x5_2007_2079667304
"<img src=""https://32.img.avito.st/208x156/10362556232.jpg"">","BMW X5, 2015","63 800 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 550 000 ₽,-,"Республика Дагестан, Дербентский р-н",https://www.avito.ru/dagestanskie_ogni/avtomobili/bmw_x5_2015_2081403767
"<img src=""https://60.img.avito.st/208x156/10705156160.jpg"">","BMW X5, 2018","81 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",4 000 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2018_2115769812
"<img src=""https://61.img.avito.st/208x156/10770016261.jpg"">","BMW X5, 2009","297 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 200 000 ₽,-,"Самарская область, Самара",https://www.avito.ru/samara/avtomobili/bmw_x5_2009_2086255467
"<img src=""https://66.img.avito.st/208x156/10738244166.jpg"">","BMW X5, 2015","62 204 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 049 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2015_2083884311
"<img src=""https://63.img.avito.st/208x156/10790879863.jpg"">","BMW X5, 2001","324 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",610 000 ₽,-,"Республика Северная Осетия — Алания, Владикавказ",https://www.avito.ru/vladikavkaz/avtomobili/bmw_x5_2001_2131494978
"<img src=""https://15.img.avito.st/208x156/10169856015.jpg"">","BMW X5, 2011","250 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 650 000 ₽,-,"Ивановская область, Иваново",https://www.avito.ru/ivanovo/avtomobili/bmw_x5_2011_2052144597
"<img src=""https://36.img.avito.st/208x156/10767083236.jpg"">","BMW X5, 2015","140 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 050 000 ₽,-,"Курская область, Курск",https://www.avito.ru/kursk/avtomobili/bmw_x5_2015_2116806443
"<img src=""https://33.img.avito.st/208x156/10755148233.jpg"">","BMW X5, 2011","136 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 419 399 ₽,-,"Республика Татарстан, Альметьевский р-н, муниципальное образование Город Альметьевск, Альметьевск",https://www.avito.ru/almetevsk/avtomobili/bmw_x5_2011_2115793001
"<img src=""https://09.img.avito.st/208x156/10789576909.jpg"">","BMW X5, 2020","18 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 247 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2020_2137478977
"<img src=""https://63.img.avito.st/208x156/10328699463.jpg"">","BMW X5, 2001","300 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",400 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2001_2057691024
"<img src=""https://76.img.avito.st/208x156/10173036576.jpg"">","BMW X5, 2008","195 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",790 000 ₽,-,"Воронежская область, Воронеж",https://www.avito.ru/voronezh/avtomobili/bmw_x5_2008_2051646685
"<img src=""https://78.img.avito.st/208x156/10526884778.jpg"">","BMW X5, 2001","264 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",399 000 ₽,-,"Волгоградская область, Волжский",https://www.avito.ru/volgogradskaya_oblast_volzhskiy/avtomobili/bmw_x5_2001_2082911524
"<img src=""https://04.img.avito.st/208x156/10558894704.jpg"">","BMW X5, 2015","83 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 900 000 ₽,-,"Брянская область, Брянск",https://www.avito.ru/bryansk/avtomobili/bmw_x5_2015_2103644776
"<img src=""https://47.img.avito.st/208x156/9488196247.jpg"">","BMW X5, 2008","275 362 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 500 000 ₽,-,"Калининградская область, Калининград",https://www.avito.ru/kaliningrad/avtomobili/bmw_x5_2008_1984233579
"<img src=""https://34.img.avito.st/208x156/10791896234.jpg"">","BMW X5, 2009","202 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 220 000 ₽,-,"Тамбовская область, Тамбов",https://www.avito.ru/tambov/avtomobili/bmw_x5_2009_2112888615
"<img src=""https://58.img.avito.st/208x156/10754948258.jpg"">","BMW X5, 2012","138 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 668 000 ₽,-,"Тюменская область, Сургут",https://www.avito.ru/surgut/avtomobili/bmw_x5_2012_2107742144
"<img src=""https://15.img.avito.st/208x156/10760498515.jpg"">","BMW X5, 2017","96 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",3 400 000 ₽,-,"Нижегородская область, Нижний Новгород",https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_2017_2136709800
"<img src=""https://95.img.avito.st/208x156/10749513695.jpg"">","BMW X5, 2014","114 114 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 050 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2014_2115918182
"<img src=""https://92.img.avito.st/208x156/10356569392.jpg"">","BMW X5, 2012","103 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 940 000 ₽,-,"Тульская область, Узловский р-н, Узловая",https://www.avito.ru/uzlovaya/avtomobili/bmw_x5_2012_2059996870
"<img src=""https://10.img.avito.st/208x156/9596132710.jpg"">","BMW X5, 2010","175 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",980 000 ₽,-,"Чеченская Республика, Грозный",https://www.avito.ru/groznyy/avtomobili/bmw_x5_2010_1999458041
"<img src=""https://86.img.avito.st/208x156/9918258786.jpg"">","BMW X5, 2016","10 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",3 300 000 ₽,-,"Республика Татарстан, Набережные Челны",https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x5_2016_2017892986
"<img src=""https://45.img.avito.st/208x156/10245909745.jpg"">","BMW X5, 2016","98 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 200 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2016_2061070831
"<img src=""https://02.img.avito.st/208x156/10733881802.jpg"">","BMW X5, 2002","367 900 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",420 000 ₽,-,"Челябинская область, Магнитогорск",https://www.avito.ru/magnitogorsk/avtomobili/bmw_x5_2002_2109616667
"<img src=""https://66.img.avito.st/208x156/10346507866.jpg"">","BMW X5, 2020","3.0 AT (400 л.с.), внедорожник, полный, дизель",10 100 000 ₽,-,"Республика Крым, Симферополь",https://www.avito.ru/simferopol/avtomobili/bmw_x5_2020_2107580280
"<img src=""https://03.img.avito.st/208x156/6401959003.jpg"">","BMW X5, 2005","280 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",615 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2005_1829839956
"<img src=""https://46.img.avito.st/208x156/10681104746.jpg"">","BMW X5, 2012","49 800 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 990 000 ₽,-,"Республика Саха (Якутия), Якутск",https://www.avito.ru/yakutsk/avtomobili/bmw_x5_2012_2102678649
"<img src=""https://64.img.avito.st/208x156/10809736664.jpg"">","BMW X5, 2012","175 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",1 250 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2012_2086196332
"<img src=""https://13.img.avito.st/208x156/9952268013.jpg"">","BMW X5, 2013","130 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",2 400 000 ₽,-,"Республика Северная Осетия — Алания, Моздокский р-н, Моздок",https://www.avito.ru/mozdok/avtomobili/bmw_x5_2013_2031339333
"<img src=""https://13.img.avito.st/208x156/10778902313.jpg"">","BMW X5, 2016","136 500 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 647 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2016_2118963087
"<img src=""https://93.img.avito.st/208x156/10782401293.jpg"">","BMW X5, 2015","85 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 690 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2015_2082158267
"<img src=""https://42.img.avito.st/208x156/10752480442.jpg"">","BMW X5, 2016","78 249 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 417 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2016_2139293478
"<img src=""https://61.img.avito.st/208x156/10776860661.jpg"">","BMW X5, 2010","250 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 350 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2010_2111513598
